Name,Price,Condition,Engine_Capacity,Region,startMile,endMile
2014-Ford RANGER 2.2 XLT 4WD(A)Kedai/Bank/Cash,56990,1,2198,Selangor,75000,79999
FULL LOAN Toyota VIOS 1.5 TRD SPORTIVO (A) LEATHER,42999,1,1497,Johor,95000,99999
FULL LOAN Toyota VIOS 1.5 TRD SPORTIVO (A),40999,1,1497,Johor,85000,89999
FULL LOAN Honda CIVIC 2.0 (A) FULL LEATHER,48999,1,1997,Johor,95000,99999
FULL LOAN Nissan X-TRAIL 2.0 (A) LEATHER SEAT,58999,1,1997,Johor,85000,89999
2014 Kia PICANTO 1.2 CVVT (A) 2 TAHUN WARRANTY,25800,1,1248,Perak,65000,69999
2016 Proton PREVE 1.6 PREMIUM (A) 3 TAHUN WARRANTY,35800,1,1561,Perak,85000,89999
1998 Nissan VANETTE 1.5 (M) Good Condition,14800,1,1498,Perak,150000,159999
2013 Nissan SERENA 2.0 S-HYBRID (A) 2 THN WARRANTY,61800,1,1997,Perak,130000,139999
1992 Honda CIVIC EG9 2.0 (M) Good Condition,21800,1,1998,Perak,180000,189999
2016 Nissan X-TRAIL 2.0 (A),68200,1,1997,Selangor,130000,139999
ALL-IN 2017 Honda CITY 1.5 E (A),60800,1,1497,Selangor,150000,159999
ALL-IN 2016 Toyota SIENTA 1.5 V (A),65800,1,1496,Selangor,80000,84999
ALL-IN 2017 Honda JAZZ 1.5 HYBRID (A),56800,1,1496,Selangor,75000,79999
ALL-IN 2019 Perodua ARUZ AV 1.5L (A),63800,1,1500,Selangor,50000,54999
2020 Proton PERSONA EXECUTIVE 1.6L (A),43800,1,1597,Penang,25000,29999
2012 Perodua VIVA 1.0 ELITE AT (A),14800,1,989,Kuala Lumpur,100000,109999
2017 Proton PERSONA 1.6 EXECUTIVE (A) BLACKLIST OK,27500,1,1597,Selangor,55000,59999
New Proton SAGA  HargaRakyat Promosi Tahun Baru2023,38300,0,1332,Johor,0,4999
1995 Proton WIRA 1.5 GL (M) CARB WEBER,6900,1,1468,Selangor,80000,84999
2011 Naza FORTE 1.6 SX ENHANCED (A) BLACKLIS OK,16500,1,1591,Selangor,130000,139999
2002 Bmw 520i (CKD) 2.2 (A) DOUBLE VANOSS,11500,1,2171,Selangor,160000,169999
2011 Isuzu D-MAX 2.5 4x2 (M) 1 TAHUN WARRANTY,42800,1,2499,Perak,65000,69999
2010 Toyota VELLFIRE 2.4 VVTi Z (A) 1 THN WARRANTY,86800,1,2362,Perak,75000,79999
2009 Toyota VIOS 1.5 G (A) 3 BULAN WARRANTY,29800,1,1497,Perak,120000,129999
2014 Toyota COROLLA ALTIS 1.8 E (A) 2 THN WARRANTY,58800,1,1798,Perak,110000,119999
2018 Mitsubishi ASX 2.0 2WD Max Certified (A),69800,1,1998,Selangor,50000,54999
2016 Perodua AXIA 1.0 G (A),26800,1,998,Selangor,80000,84999
2012 Honda CIVIC 2.0 S i-VTEC FACELIFT (A),54200,1,1998,Selangor,170000,179999
2012 Perodua MYVI 1.5 SE ZHS (A),25800,1,1495,Kuala Lumpur,120000,129999
2015 Nissan ALMERA 1.5 E (A),35900,1,1498,Selangor,120000,129999
2016 Honda CITY 1.5 E (A),55900,1,1497,Selangor,120000,129999
2016 Toyota VIOS 1.5  FACELIFT (A),54800,1,1496,Selangor,60000,64999
2013 Nissan GRAND LIVINA 1.8 IMPUL (A),30800,1,1798,Selangor,65000,69999
2008 Perodua MYVI 1.3 EZi (A),16800,1,1298,Selangor,80000,84999
2018 Toyota VIOS 1.5 TRD BODYKIT (A),59800,1,1496,Selangor,60000,64999
2013 Perodua ALZA 1.5 EZ (A) 119k Miles Fast Loan,30800,1,1495,Selangor,110000,119999
2005 Toyota AVANZA 1.3 E (M),11000,1,1298,Selangor,250000,299999
2017 Mini COOPER 2.0 JCW/CHINESE NEW YEAR **SALE**,169000,2,1998,Selangor,70000,74999
2015 Perodua MYVI 1.3 PREMIUM X FACELIFT (A),28000,1,1298,Negeri Sembilan,120000,129999
2014-Ford RANGER 2.2 XLT 4WD(A)Kedai/Bank/Cash,56990,1,2198,Selangor,75000,79999
FULL LOAN Toyota VIOS 1.5 TRD SPORTIVO (A) LEATHER,42999,1,1497,Johor,95000,99999
FULL LOAN Toyota VIOS 1.5 TRD SPORTIVO (A),40999,1,1497,Johor,85000,89999
FULL LOAN Honda CIVIC 2.0 (A) FULL LEATHER,48999,1,1997,Johor,95000,99999
FULL LOAN Nissan X-TRAIL 2.0 (A) LEATHER SEAT,58999,1,1997,Johor,85000,89999
2014 Kia PICANTO 1.2 CVVT (A) 2 TAHUN WARRANTY,25800,1,1248,Perak,65000,69999
2016 Proton PREVE 1.6 PREMIUM (A) 3 TAHUN WARRANTY,35800,1,1561,Perak,85000,89999
1998 Nissan VANETTE 1.5 (M) Good Condition,14800,1,1498,Perak,150000,159999
2013 Nissan SERENA 2.0 S-HYBRID (A) 2 THN WARRANTY,61800,1,1997,Perak,130000,139999
1992 Honda CIVIC EG9 2.0 (M) Good Condition,21800,1,1998,Perak,180000,189999
2016 Nissan X-TRAIL 2.0 (A),68200,1,1997,Selangor,130000,139999
ALL-IN 2017 Honda CITY 1.5 E (A),60800,1,1497,Selangor,150000,159999
ALL-IN 2016 Toyota SIENTA 1.5 V (A),65800,1,1496,Selangor,80000,84999
ALL-IN 2017 Honda JAZZ 1.5 HYBRID (A),56800,1,1496,Selangor,75000,79999
ALL-IN 2019 Perodua ARUZ AV 1.5L (A),63800,1,1500,Selangor,50000,54999
2020 Proton PERSONA EXECUTIVE 1.6L (A),43800,1,1597,Penang,25000,29999
2012 Perodua VIVA 1.0 ELITE AT (A),14800,1,989,Kuala Lumpur,100000,109999
2017 Proton PERSONA 1.6 EXECUTIVE (A) BLACKLIST OK,27500,1,1597,Selangor,55000,59999
New Proton SAGA  HargaRakyat Promosi Tahun Baru2023,38300,0,1332,Johor,0,4999
1995 Proton WIRA 1.5 GL (M) CARB WEBER,6900,1,1468,Selangor,80000,84999
2011 Naza FORTE 1.6 SX ENHANCED (A) BLACKLIS OK,16500,1,1591,Selangor,130000,139999
2002 Bmw 520i (CKD) 2.2 (A) DOUBLE VANOSS,11500,1,2171,Selangor,160000,169999
2011 Isuzu D-MAX 2.5 4x2 (M) 1 TAHUN WARRANTY,42800,1,2499,Perak,65000,69999
2010 Toyota VELLFIRE 2.4 VVTi Z (A) 1 THN WARRANTY,86800,1,2362,Perak,75000,79999
2009 Toyota VIOS 1.5 G (A) 3 BULAN WARRANTY,29800,1,1497,Perak,120000,129999
2014 Toyota COROLLA ALTIS 1.8 E (A) 2 THN WARRANTY,58800,1,1798,Perak,110000,119999
2018 Mitsubishi ASX 2.0 2WD Max Certified (A),69800,1,1998,Selangor,50000,54999
2016 Perodua AXIA 1.0 G (A),26800,1,998,Selangor,80000,84999
2012 Honda CIVIC 2.0 S i-VTEC FACELIFT (A),54200,1,1998,Selangor,170000,179999
2012 Perodua MYVI 1.5 SE ZHS (A),25800,1,1495,Kuala Lumpur,120000,129999
2015 Nissan ALMERA 1.5 E (A),35900,1,1498,Selangor,120000,129999
2016 Honda CITY 1.5 E (A),55900,1,1497,Selangor,120000,129999
2016 Toyota VIOS 1.5  FACELIFT (A),54800,1,1496,Selangor,60000,64999
2013 Nissan GRAND LIVINA 1.8 IMPUL (A),30800,1,1798,Selangor,65000,69999
2008 Perodua MYVI 1.3 EZi (A),16800,1,1298,Selangor,80000,84999
2018 Toyota VIOS 1.5 TRD BODYKIT (A),59800,1,1496,Selangor,60000,64999
2013 Perodua ALZA 1.5 EZ (A) 119k Miles Fast Loan,30800,1,1495,Selangor,110000,119999
2005 Toyota AVANZA 1.3 E (M),11000,1,1298,Selangor,250000,299999
2017 Mini COOPER 2.0 JCW/CHINESE NEW YEAR **SALE**,169000,2,1998,Selangor,70000,74999
2015 Perodua MYVI 1.3 PREMIUM X FACELIFT (A),28000,1,1298,Negeri Sembilan,120000,129999
2015 Nissan NAVARA 2.5(A)4Ã—4 HARGA SIAP TUKARNAMA,58200,1,2488,Kuala Lumpur,100000,109999
2017 Ford RANGER 2.2 XLT (M) NO PROCESSING FEES,61900,1,2198,Kuala Lumpur,100000,109999
r2018 Ford RANGER 2.2 XLT (A) FULL SERVICE RECORD,71900,1,2198,Kuala Lumpur,90000,94999
2012 Honda ACCORD 2.0 VTi-L FACELIFT (A),38800,1,1997,Selangor,100000,109999
"*RECOND,CBU,GRED 5A,*2020 Honda JAZZ/FIT NESS 1.3",124699,2,1497,Selangor,0,4999
2021 Proton X70 PREMIUM X 2WD 1.8L (A),103800,1,1799,Selangor,40000,44999
2016 Proton IRIZ 1.3 EXECUTIVE (A),26800,1,1332,Selangor,85000,89999
ALL-IN 2020 Honda CIVIC TC-PREMIUM 1.5L (A),122800,1,1498,Selangor,40000,44999
2018 Nissan SERENA 2.0 S-HYBRD PREMIUM HGHWY STAR,107500,1,1997,Selangor,100000,109999
2018 Toyota C-HR 1.8 (A),113800,1,1798,Selangor,40000,44999
2018 Bmw 530E 2.0 SPORT (CKD) (A),170000,1,1998,Selangor,45000,49999
2020 Honda CITY V 1.5L (A),64800,1,1497,Selangor,45000,49999
2021 Proton X70 PREMIUM 2WD 1.8L (A),85800,1,1799,Selangor,40000,44999
2020 Toyota VIOS E 1.5L (A),66800,1,1496,Selangor,55000,59999
2018 Honda CIVIC 1.5 TC-PREMIUM (A),93800,1,1498,Selangor,60000,64999
2006 Proton PERDANA 2.0 V6 ENHANCED VERSION 3 (A),7999,1,1999,Selangor,300000,349999
2011 Suzuki ALTO 1.0 GLX (A) 1 TAHUN WARRANTY,15800,1,996,Perak,85000,89999
2011 Suzuki SWIFT 1.5 VVT (A) 1 TAHUN WARRANTY,25800,1,1490,Perak,100000,109999
2005 Toyota HARRIER 2.4 G (A) 6 BULAN WARRANTY,39800,1,2362,Perak,130000,139999
2009 Mercedes Benz C230 AVANTGARDE 2.5 6 BLN WTY,48800,1,2496,Perak,130000,139999
2011 Perodua ALZA 1.5 EZi (A) 2 THN WARRANTY,30800,1,1495,Perak,85000,89999
1993 Proton WIRA 1.5 A/B GL (M) Good Condition,3800,1,1468,Perak,250000,299999
2012 Chevrolet CRUZE 1.8 LT (A) 1 THN WARRANTY,21800,1,1796,Perak,100000,109999
2011 Mercedes Benz C200 CGI BlueEFCY,57850,1,1796,Kelantan,100000,109999
2005 Lexus IS250 2.5 Dual VVTi (A) 6 BLN WARRANTY,59800,1,2499,Perak,95000,99999
2009 Audi TT 2.0 S TFSI Quattro (A) 3 BLN WARRANTY,71800,1,1984,Perak,75000,79999
2014 Nissan TEANA 2.0 XL (A) 3 TAHUN WARRANTY,56800,1,1997,Perak,60000,64999
2006 Lexus IS250 2.5 Dual VVTi (A) 6 BLN WARRANTY,63800,1,2499,Perak,140000,149999
2019 Mini COOPER S COUNTRYMAN 2.0L (A),193000,2,1998,Selangor,20000,24999
2018 Fiat ABARTH 595 1.4 TURBOCHARGE  (A),139000,2,1368,Selangor,75000,79999
2017 Mini COOPER 2.0 SD CLUBMAN END YEAR PROMO (A),139000,2,1995,Selangor,70000,74999
Audi Q5 2.0 TFSI S-LINE FACELIFT [[EndYear SALE]],175000,2,1984,Selangor,75000,79999
2017 Mercedes Benz B180 (CBU) 1.6 (A),119000,2,1595,Selangor,55000,59999
Land Rover RANGE ROVER 3.0 VOGUE SDV6 (A),670000,2,2993,Kuala Lumpur,10000,14999
2019 Toyota HARRIER 2.0T LUXURY (A)Panoramic roof,173800,1,1998,Selangor,100000,109999
2015 Honda CITY 1.5 V i-VTEC (A) 3 TAHUN WARRANTY,55800,1,1497,Perak,65000,69999
2012 Mitsubishi PAJERO SPORT 2.5 GL (A) 3 Thn WTY,53800,1,2477,Perak,100000,109999
2009 Audi A4 1.8 TFSI S-LINE (A) 3 BULAN WARRANTY,39800,1,1798,Perak,95000,99999
2009 Toyota VIOS 1.5 VVTi J (M) 6 BULAN WARRANTY,27800,1,1497,Perak,100000,109999
ALL-IN 2012 Volkswagen BEETLE 1.2 TSI (A),60800,1,1197,Selangor,55000,59999
